Entry,Coiled_coil,Compositional_bias,Domain_CC,Domain_FT,Motif,Region,Repeat,Zinc_finger
A0A0B7P3V8,COILED 48..112; /evidence="ECO:0000255",,"DOMAIN: Integrase core domain contains the D-x(n)-D-x(35)-E motif, named for the phylogenetically conserved glutamic acid and aspartic acid residues and the invariant 35 amino acid spacing between the second and third acidic residues. Each acidic residue of the D,D(35)E motif is independently essential for the 3'-processing and strand transfer activities of purified integrase protein. {ECO:0000250}.",DOMAIN 619..786; /note="Integrase catalytic"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457",,REGION 381..501; /note="Ty4 protease"; REGION 539..599; /note="Integrase-type zinc finger-like",,
D6VTK4,,,"DOMAIN: The extracellular N-terminal domain and transmembrane domains 1 and 2 mediate homooligomerization (PubMed:12194975). The highly conserved sequence IXXGXXXGA (residues 53-61) is a glycine zipper motif in which shallow grooves in the alpha-helices interact with one another (PubMed:14506226, PubMed:16709573, PubMed:33268889). {ECO:0000269|PubMed:12194975, ECO:0000269|PubMed:14506226, ECO:0000269|PubMed:16709573, ECO:0000269|PubMed:33268889}.; DOMAIN: The transmembrane domain 1 (TMD1) and TMD2 mediate oligomerization by providing a homophilic interaction surface that stabilizes dimers/oligomers. {ECO:0000269|PubMed:35296853}.; DOMAIN: The third intracellular loop (residues 231-243) is essential for signal transduction. {ECO:0000269|PubMed:8132618}.; DOMAIN: The DAKSS motif (residues 335-339) is required for internalization of STE2 in response to alpha-factor-binding. {ECO:0000269|PubMed:8392878}.; DOMAIN: The region from residue 251 to 294 which encompasses transmembrane domain 6 (TMD6), the extracellular loop between TMD6 and TMD7, and TMD7, is involved in the binding of alpha-factor (PubMed:11994008). Polar residues in TMD6 such as Gln-253 or Ser-254 influence receptor structure by forming intramolecular contacts between TMD6 and the neighbor TMDs (PubMed:9819407). {ECO:0000269|PubMed:11994008, ECO:0000269|PubMed:9819407}.; DOMAIN: The C-terminal cytoplasmic domain is highly phosphorylated and involved in regulation of the pheromone response via promoting the formation of receptor-G-protein preactivation complexes (PubMed:10866688, PubMed:11287148, PubMed:1653030, PubMed:2842059, PubMed:8524302). This domain is in particular involved in the interaction with the G-alpha subunit GPA1 (PubMed:28958779). {ECO:0000269|PubMed:10866688, ECO:0000269|PubMed:11287148, ECO:0000269|PubMed:1653030, ECO:0000269|PubMed:2842059, ECO:0000269|PubMed:28958779, ECO:0000269|PubMed:8524302}.; DOMAIN: STE2 has an extensive orthosteric binding pocket that involves residues throughout the extracellular half of the receptor. {ECO:0000269|PubMed:16709573}.",,"MOTIF 53..61; /note=""Glycine zipper motif""; /evidence=""ECO:0000269|PubMed:14506226, ECO:0000269|PubMed:33268889""",REGION 379..406; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
O13297,,COMPBIAS 45..69; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 70..87; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 135..159; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 30..169; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
O13329,,COMPBIAS 1..43; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 466..492; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 517..566; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 1..44; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 466..566; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,ZN_FING 159..196; /note="C2H2-type"; /evidence="ECO:0000305|PubMed:14645529"
O13516,,,,DOMAIN 107..181; /note="S4 RNA-binding"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00182",,REGION 160..197; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
O13527,,COMPBIAS 410..424; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 434..459; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 481..497; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 498..521; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 538..552; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 575..589; /note="Pro residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 594..619; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite","DOMAIN: The C-terminal RNA-binding region of CA is sufficient for all its nucleocapsid-like chaperone activities. {ECO:0000250}.; DOMAIN: Integrase core domain contains the D-x(n)-D-x(35)-E motif, named for the phylogenetically conserved glutamic acid and aspartic acid residues and the invariant 35 amino acid spacing between the second and third acidic residues. Each acidic residue of the D,D(35)E motif is independently essential for the 3'-processing and strand transfer activities of purified integrase protein (By similarity). {ECO:0000250}.",DOMAIN 101..276; /note="Integrase catalytic"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; DOMAIN 779..917; /note="Reverse transcriptase Ty1/copia-type"; DOMAIN 1051..1193; /note="RNase H Ty1/copia-type",MOTIF 619..653; /note="Bipartite nuclear localization signal"; /evidence="ECO:0000250",REGION 397..528; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 533..552; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 571..628; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
O13535,,COMPBIAS 1..67; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 131..164; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 398..412; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 413..459; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1007..1021; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1031..1053; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1078..1094; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1095..1118; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1132..1149; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1187..1208; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite","DOMAIN: The C-terminal RNA-binding region of CA is sufficient for all its nucleocapsid-like chaperone activities. {ECO:0000250}.; DOMAIN: Integrase core domain contains the D-x(n)-D-x(35)-E motif, named for the phylogenetically conserved glutamic acid and aspartic acid residues and the invariant 35 amino acid spacing between the second and third acidic residues. Each acidic residue of the D,D(35)E motif is independently essential for the 3'-processing and strand transfer activities of purified integrase protein (By similarity). {ECO:0000250}.",DOMAIN 698..873; /note="Integrase catalytic"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00457"; DOMAIN 1376..1514; /note="Reverse transcriptase Ty1/copia-type"; DOMAIN 1648..1790; /note="RNase H Ty1/copia-type",MOTIF 1216..1250; /note="Bipartite nuclear localization signal"; /evidence="ECO:0000250",REGION 1..84; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 126..174; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 337..439; /note="RNA-binding"; /evidence="ECO:0000250"; REGION 390..459; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 621..678; /note="Integrase-type zinc finger-like"; REGION 996..1208; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
O13539,,,,,,,,
O13547,,,,DOMAIN 23..110; /note="CFEM"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01356",,REGION 91..203; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
O13563,,,,DOMAIN 2..132; /note="Pru"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01265",,REGION 128..156; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
